root,level,subject,board,year,page_type,the_rest
www.savemyexams.com,as,chemistry,cie,25,revision-notes,22-analytical-techniques/22-1-infrared-spectroscopy/infrared-spectroscopy
www.savemyexams.com,as,chemistry,cie,22,topic-questions,1-physical-chemistry/1-3-chemical-bonding/structured-questions
www.savemyexams.com,as,chemistry,cie,22,topic-questions,2-inorganic-chemistry/2-3-group-17/structured-questions
www.savemyexams.com,as,chemistry,cie,22,topic-questions,3-organic-chemistry/3-7-nitrogen-compounds/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,2-atoms-molecules-and-stoichiometry/2-1-relative-masses-of-atoms-and-molecules/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,3-chemical-bonding/3-5-shapes-of-molecules/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,7-equilibria/7-1-chemical-equilibria-reversible-reactions-and-dynamic-equilibrium/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,10-group-2/10-1-similarities-and-trends-in-the-properties-of-the-group-2-metals-magnesium-to-barium-and-their-compounds/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,15-halogen-compounds/15-1-halogenoalkanes/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,21-organic-synthesis/21-1-organic-synthesis/multiple-choice-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,2-atoms-molecules-and-stoichiometry/2-2-the-mole-and-the-avogadro-constant/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,3-chemical-bonding/3-6-intermolecular-forces-electronegativity-and-bond-properties/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,7-equilibria/7-2-brnsted-lowry-theory-of-acids-and-bases/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,12-nitrogen-and-sulfur/12-1-nitrogen-and-sulfur/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,16-hydroxy-compounds/16-1-alcohols/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,22-analytical-techniques/22-1-infrared-spectroscopy/structured-questions
www.savemyexams.com,as,chemistry,cie,25,topic-questions,11-group-17/11-3-some-reactions-of-the-halide-ions/structured-questions
www.savemyexams.com,as,biology,cie,25,revision-notes,1-cell-structure/1-2-cells-as-the-basic-units-of-living-organisms/animal-and-plant-cells
www.savemyexams.com,as,biology,cie,25,revision-notes,2-biological-molecules/2-2-carbohydrates-and-lipids/covalent-bonds-in-polymers
www.savemyexams.com,as,biology,cie,25,revision-notes,2-biological-molecules/2-3-proteins/the-four-levels-of-protein-structure
www.savemyexams.com,as,biology,cie,25,revision-notes,3-enzymes/3-1-mode-of-action-of-enzymes/enzyme-action
www.savemyexams.com,as,biology,cie,25,revision-notes,3-enzymes/3-2-factors-that-affect-enzyme-action/rate-inhibitor-concentration
www.savemyexams.com,as,biology,cie,25,revision-notes,4-cell-membranes-and-transport/4-2-movement-into-and-out-of-cells/diffusion
www.savemyexams.com,as,biology,cie,25,revision-notes,4-cell-membranes-and-transport/4-2-movement-into-and-out-of-cells/estimating-water-potential-in-plants
www.savemyexams.com,as,biology,cie,25,revision-notes,5-the-mitotic-cell-cycle/5-1-replication-and-division-of-nuclei-and-cells/the-role-of-stem-cells
www.savemyexams.com,as,biology,cie,25,revision-notes,6-nucleic-acids-and-protein-synthesis/6-2-protein-synthesis/from-gene-to-polypeptide
www.savemyexams.com,as,biology,cie,25,revision-notes,7-transport-in-plants/7-1-structure-of-transport-tissues/phloem-sieve-tube-elements
www.savemyexams.com,as,biology,cie,25,revision-notes,8-transport-in-mammals/8-1-the-circulatory-system/circulatory-systems
www.savemyexams.com,as,biology,cie,25,revision-notes,8-transport-in-mammals/8-2-transport-of-oxygen-and-carbon-dioxide/the-chloride-shift
www.savemyexams.com,as,biology,cie,25,revision-notes,9-gas-exchange/9-1-the-gas-exchange-system/the-human-gas-exchange-system
www.savemyexams.com,as,biology,cie,25,revision-notes,10-infectious-diseases/10-1-infectious-diseases/prevention-and-control-of-disease
www.savemyexams.com,as,biology,cie,25,revision-notes,11-immunity/11-2-antibodies-and-vaccination/antibodies
www.savemyexams.com,as,biology,cie,25,topic-questions,2-biological-molecules/2-1-testing-for-biological-molecules/multiple-choice-questions
www.savemyexams.com,as,biology,cie,25,topic-questions,5-the-mitotic-cell-cycle/5-1-replication-and-division-of-nuclei-and-cells/multiple-choice-questions
www.savemyexams.com,as,biology,cie,25,topic-questions,8-transport-in-mammals/8-3-the-heart/multiple-choice-questions
www.savemyexams.com,as,biology,cie,25,topic-questions,2-biological-molecules/2-1-testing-for-biological-molecules/structured-questions
www.savemyexams.com,as,biology,cie,25,topic-questions,5-the-mitotic-cell-cycle/5-1-replication-and-division-of-nuclei-and-cells/structured-questions
www.savemyexams.com,as,biology,cie,25,topic-questions,8-transport-in-mammals/8-3-the-heart/structured-questions
www.savemyexams.com,as,biology,cie,25,revision-notes,
www.savemyexams.com,a-level,physics,cie,22,revision-notes,1-physical-quantities--units/1-2-measurements--errors/1-2-2-calculating-uncertainties
www.savemyexams.com,a-level,physics,cie,22,revision-notes,3-dynamics/3-1-newtons-laws-of-motion/3-1-3-newtons-laws-of-motion
www.savemyexams.com,a-level,physics,cie,22,revision-notes,4-forces-density--pressure/4-2-forces-density--pressure/4-2-2-pressure
www.savemyexams.com,a-level,physics,cie,22,revision-notes,7-waves/7-1-waves-transverse--longitudinal/7-1-3-the-wave-equation
www.savemyexams.com,a-level,physics,cie,22,revision-notes,9-electricity/9-1-current--potential-difference/9-1-3-potential-difference
www.savemyexams.com,a-level,physics,cie,22,revision-notes,10-d-c-circuits/10-1-dc-practical-circuits--kirchhoffs-laws/10-1-5-kirchhoffs-second-law
www.savemyexams.com,a-level,physics,cie,22,revision-notes,13-gravitational-fields/13-1-universal-gravitation/13-1-1-gravitational-fields
www.savemyexams.com,a-level,physics,cie,22,revision-notes,15-ideal-gases/15-1-ideal-gas-law/15-1-2-ideal-gases
www.savemyexams.com,a-level,physics,cie,22,revision-notes,18-electric-fields/18-1-electric-fields/18-1-3-electric-field-strength
www.savemyexams.com,a-level,physics,cie,22,revision-notes,19-capacitance/19-2-charging-and-discharging/19-2-1-capacitor-discharge-graphs
www.savemyexams.com,a-level,physics,cie,22,revision-notes,20-magnetic-fields/20-1-magnetic-fields/20-1-8-motion-of-a-charged-particle-in-a-magnetic-field
www.savemyexams.com,a-level,physics,cie,22,revision-notes,22-quantum-physics/22-1-the-photoelectric-effect/22-1-2-the-electronvolt
www.savemyexams.com,a-level,physics,cie,22,revision-notes,23-nuclear-physics/23-2-radioactive-decay/23-2-1-the-random-nature-of-radioactive-decay
www.savemyexams.com,a-level,physics,cie,22,revision-notes,24-medical-physics/24-2-pet-scanning/24-2-1-radioactive-tracers
www.savemyexams.com,a-level,physics,cie,22,revision-notes,25-astronomy--cosmology/25-2-cosmology/25-2-3-hubbles-law--the-big-bang-theory
www.savemyexams.com,a-level,physics,cie,25,revision-notes,10-d-c-circuits/10-2-kirchhoffs-laws/resistors-in-parallel
www.savemyexams.com,a-level,physics,cie,25,revision-notes,21-alternating-currents/21-2-rectification-and-smoothing/smoothing
